时间,用户编号,电量趋势增长指标,线损指标,告警类指标,是否窃漏电
2014年9月6日,9900667154,4,1 ,1,1
2014年9月20日,9900639431,4,0 ,4,1
2014年9月17日,9900585516,2,1 ,1,1
2014年9月14日,9900531154,9,0 ,0,0
2014年9月17日,9900491050,3,1 ,0,0
2014年9月13日,9900461501,2,0 ,0,0
2014年9月22日,9900412593,5,0 ,2,1
2014年9月20日,9900366180,3,1 ,3,1
2014年9月19日,9900322960,3,0 ,0,0
2014年9月9日,9900254673,4,1 ,0,0
2014年9月18日,9900196505,10,1 ,2,1
2014年9月16日,9900145248,10,1 ,3,1
2014年9月6日,9900137535,2,0 ,3,0
2014年9月7日,9900064537,4,0 ,2,0
2014年9月9日,9110103867,3,0 ,0,0
2014年9月23日,9010100689,0,0 ,3,0
2014年9月21日,8910101840,9,0 ,3,1
2014年9月11日,8910101209,0,0 ,2,0
2014年9月19日,8910101132,8,1 ,4,1
2014年9月19日,8910100309,2,0 ,4,0
2014年9月9日,8810101463,3,0 ,1,0
2014年9月9日,8710100857,7,0 ,0,0
2014年9月16日,8610101576,6,0 ,0,0
2014年9月20日,8610101002,4,1 ,2,1
2014年9月24日,8610100611,7,0 ,0,0
2014年9月12日,8510101013,2,1 ,0,0
2014年9月14日,8510100328,5,1 ,0,0
2014年9月6日,8410100932,1,1 ,4,1
2014年9月8日,8310100768,5,1 ,1,1
2014年9月8日,8310100766,1,0 ,2,0
2014年9月12日,8010105371,2,1 ,4,1
2014年9月15日,7890101700,6,1 ,1,1
2014年9月24日,7890101050,6,0 ,1,0
2014年9月15日,7890100127,5,0 ,3,0
2014年9月7日,7410101118,2,1 ,4,1
2014年9月7日,7410100594,4,1 ,0,0
2014年9月13日,7110100918,7,1 ,3,1
2014年9月7日,7010100173,6,0 ,1,0
2014年9月18日,6610100860,1,0 ,3,0
2014年9月24日,6410100669,3,1 ,3,0
2014年9月23日,6310100375,4,0 ,0,0
2014年9月7日,6110102944,8,1 ,0,0
2014年9月11日,6110102380,6,1 ,3,1
2014年9月8日,6110102306,1,1 ,2,0
2014年9月18日,6110102239,4,1 ,0,0
2014年9月15日,6110102165,2,1 ,0,1
2014年9月17日,6110101243,4,0 ,2,1
2014年9月16日,6110101109,7,1 ,1,1
2014年9月9日,6010100999,4,1 ,0,0
2014年9月18日,6010100995,0,1 ,0,0
2014年9月24日,6010100992,1,1 ,3,0
2014年9月19日,6010100989,4,1 ,0,0
2014年9月15日,6010100977,1,1 ,4,1
2014年9月11日,6010100545,6,0 ,0,1
2014年9月7日,4110070531,6,1 ,1,1
2014年9月14日,3310113117,6,0 ,0,0
